site,slug,genre,title,priority,status,hand_rewritten,affiliate,forbidden_count,forbidden_sample,slug_leak
takken-master,takken-benkyou-jikan,学習計画,宅建の勉強時間は何時間必要？初学者・社会人・再受験者別の目安,B,done,yes,no,0,,
takken-master,takken-goukakuten,合格・難易度,宅建の合格点は何点？合格ラインの考え方と目標点の作り方,A,done,yes,no,0,,
takken-master,takken-hooreijou-seigen-study,分野別対策,宅建の法令上の制限の勉強法｜用途地域・建ぺい率・開発許可の攻略,B,needs_rewrite,no,no,3,の論点の一つです,takken-hooreijou-seigen-study
takken-master,takken-zei-sonota-study,分野別対策,宅建の税・その他の勉強法｜直前期に得点を上積みする攻略法,B,needs_rewrite,no,no,7,の論点の一つです,
takken-master,takken-gakusei,試験概要,大学生・専門学生が宅建を取るメリット｜就活での活かし方と勉強計画,C,needs_rewrite,no,no,3,の論点の一つです,takken-gakusei
takken-master,takken-mikeiken-tenshoku,試験概要,未経験から宅建で不動産業界へ転職する方法｜求人選びと準備の進め方,C,needs_rewrite,no,no,6,の論点の一つです,takken-mikeiken-tenshoku
takken-master,takken-fudosan-gyokai,試験概要,不動産業界で宅建をどう活かす？営業・管理・事務で役立つ場面,C,needs_rewrite,no,no,3,の論点の一つです,takken-fudosan-gyokai
takken-master,takken-fukugyo-dokuritsu,試験概要,宅建は副業・独立に使える？開業前に知るべき現実と準備,C,needs_rewrite,no,no,3,の論点の一つです,takken-fukugyo-dokuritsu
takken-master,takken-chokuzen,直前・当日,宅建試験の直前対策｜1ヶ月・1週間・前日でやること,A,needs_rewrite,no,no,7,の論点の一つです,
takken-master,takken-gokaku-ritsu,合格・難易度,宅建の合格率は？年度別の傾向と合格ラインの読み方,A,done,yes,no,0,,
takken-master,takken-shiken-schedule-2026,受験・申込,2026年度 宅建試験日程・申込み・合格発表スケジュール,A,done,yes,no,0,,
takken-master,takken-kyozai,試験概要,宅建の教材の選び方｜テキスト・問題集・通信講座を比較,C,needs_rewrite,no,no,6,の論点の一つです,takken-kyozai
takken-master,takken-moshi,試験概要,宅建の模擬試験の活用法｜何回受ける？点数の見方,C,needs_rewrite,no,no,7,の論点の一つです,
takken-master,takken-tokkuten,用語ハブ活用法,宅建の頻出論点まとめ｜分野別・絶対暗記の数字一覧,C,needs_rewrite,no,no,5,の論点の一つです,
takken-master,takken-jukenhi,受験・申込,宅建試験の受験費用・合格後の費用まとめ,A,done,yes,no,0,,
takken-master,takken-machigai-note,試験概要,宅建の間違いノートの作り方｜復習で得点を伸ばす方法,C,needs_rewrite,no,no,6,の論点の一つです,takken-machigai-note
takken-master,takken-tsushin-hikaku,試験概要,宅建の通信講座・独学・通学の比較｜自分に合う学習スタイル,C,needs_rewrite,no,no,7,の論点の一つです,
takken-master,takken-35jou-gyakushu,試験概要,宅建の35条重説・37条書面の攻略法｜宅建業法の核心,C,needs_rewrite,no,no,7,の論点の一つです,
takken-master,takken-saishuken,注意点・更新,宅建の再受験の勉強法｜失点分析から合格へのロードマップ,C,needs_rewrite,no,no,7,の論点の一つです,
takken-master,takken-4gatsu-start,学習計画,宅建を4月・1月スタートで合格する｜月別学習カレンダー,B,needs_rewrite,no,no,3,の論点の一つです,takken-4gatsu-start
takken-master,takken-toukei-mondai,試験概要,宅建の統計問題の攻略法｜問46〜50と5問免除,C,done,yes,no,0,,
takken-master,takken-baisho,試験概要,宅建の報酬額・速算式の攻略法｜計算問題を落とさない,C,needs_rewrite,no,no,7,の論点の一つです,
takken-master,takken-baikai-keiyaku,試験概要,宅建の媒介契約3種類の違い｜一般・専任・専属専任を整理,C,needs_rewrite,no,no,6,の論点の一つです,takken-baikai-keiyaku
takken-master,takken-8shu-seigen,試験概要,宅建の8種制限の攻略法｜手付金・クーリングオフを整理,C,needs_rewrite,no,no,7,の論点の一つです,
takken-master,takken-yoto-chiiki,試験概要,宅建の用途地域の覚え方｜13種類を試験向けに整理,C,needs_rewrite,no,no,7,の論点の一つです,
takken-master,takken-kenpei-yoseki,試験概要,宅建の建ぺい率・容積率の計算｜道路幅員・防火地域の緩和,C,needs_rewrite,no,no,7,の論点の一つです,
